boro,commntydst,comp2010ap,comp2010,comp2011,comp2012,comp2013,comp2014,comp2015,comp2016,comp2017,comp2018,comp2019,comp2020,filed,approved,permitted,withdrawn,inactive,cenunits10,total
Manhattan,101,456.0,459.0,1382.0,503.0,417.0,-11.0,847.0,1299.0,675.0,1166.0,432.0,383.0,670.0,-11.0,1948.0,433.0,300.0,34139,41688
Manhattan,102,205.0,233.0,-23.0,-90.0,-34.0,-13.0,249.0,210.0,109.0,111.0,287.0,343.0,239.0,-14.0,471.0,143.0,146.0,56211,57565
Manhattan,103,510.0,576.0,122.0,81.0,182.0,422.0,71.0,294.0,656.0,1433.0,448.0,319.0,1005.0,542.0,769.0,319.0,366.0,75975,80513
Manhattan,104,639.0,1877.0,1980.0,299.0,2509.0,731.0,1653.0,1721.0,2110.0,2169.0,726.0,291.0,1174.0,6.0,3691.0,52.0,1549.0,69598,84426
Manhattan,105,551.0,527.0,320.0,-11.0,165.0,277.0,552.0,626.0,731.0,1074.0,586.0,272.0,476.0,-26.0,1486.0,1342.0,1448.0,36550,41693
Manhattan,106,148.0,225.0,142.0,-118.0,-27.0,284.0,158.0,1263.0,592.0,714.0,712.0,13.0,677.0,63.0,1220.0,241.0,187.0,92067,95948
Manhattan,107,820.0,1221.0,67.0,250.0,57.0,252.0,302.0,836.0,318.0,245.0,1298.0,116.0,368.0,-260.0,621.0,397.0,235.0,120694,125255
Manhattan,108,166.0,266.0,126.0,-70.0,-116.0,-362.0,135.0,222.0,244.0,-52.0,6.0,331.0,730.0,-116.0,522.0,-40.0,-103.0,136751,137381
Manhattan,109,99.0,85.0,97.0,27.0,9.0,165.0,-16.0,580.0,16.0,2.0,263.0,275.0,402.0,8.0,759.0,391.0,33.0,42973,44490
Manhattan,110,438.0,590.0,627.0,85.0,64.0,335.0,21.0,316.0,109.0,100.0,298.0,719.0,344.0,308.0,1210.0,91.0,197.0,55513,58625
Manhattan,111,502.0,986.0,614.0,503.0,270.0,620.0,116.0,96.0,512.0,316.0,323.0,846.0,1444.0,72.0,1522.0,865.0,815.0,50226,54944
Manhattan,112,41.0,35.0,128.0,-35.0,10.0,74.0,76.0,61.0,39.0,123.0,114.0,35.0,1241.0,296.0,151.0,25.0,639.0,72910,73576
Manhattan,164,,,,,,,,,,,,,,,,,,0,0
Bronx,201,373.0,571.0,876.0,476.0,14.0,284.0,319.0,275.0,298.0,1093.0,525.0,784.0,2605.0,617.0,3675.0,455.0,160.0,31623,36940
Bronx,202,162.0,220.0,305.0,17.0,115.0,-1.0,0.0,107.0,78.0,78.0,400.0,531.0,783.0,309.0,679.0,39.0,65.0,17859,19651
Bronx,204,258.0,422.0,39.0,145.0,49.0,284.0,85.0,129.0,351.0,539.0,282.0,260.0,831.0,685.0,1888.0,146.0,143.0,51652,54073
Bronx,205,168.0,297.0,200.0,152.0,-9.0,298.0,223.0,7.0,216.0,189.0,173.0,330.0,1760.0,484.0,1604.0,711.0,542.0,43460,45407
Bronx,206,220.0,224.0,375.0,146.0,10.0,194.0,397.0,216.0,274.0,1125.0,826.0,591.0,1635.0,1.0,1391.0,564.0,377.0,29291,33665
Bronx,207,460.0,478.0,57.0,209.0,148.0,104.0,187.0,155.0,235.0,705.0,200.0,498.0,907.0,387.0,1810.0,483.0,250.0,50161,53119
Bronx,208,21.0,27.0,25.0,251.0,69.0,1.0,65.0,202.0,126.0,91.0,169.0,52.0,273.0,76.0,596.0,366.0,115.0,44164,45236
Bronx,210,118.0,120.0,220.0,24.0,96.0,20.0,235.0,45.0,28.0,54.0,52.0,24.0,127.0,109.0,203.0,39.0,132.0,52511,53427
Bronx,211,60.0,69.0,42.0,22.0,35.0,13.0,17.0,-6.0,196.0,31.0,62.0,43.0,425.0,117.0,408.0,71.0,151.0,43691,44206
Bronx,212,188.0,249.0,344.0,173.0,264.0,204.0,265.0,347.0,94.0,218.0,77.0,204.0,856.0,239.0,1043.0,234.0,237.0,57351,59729
Bronx,226,,,,0.0,,,,,,,,,,,,,,0,0
Bronx,227,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,624,624
Bronx,228,,,,,,,,,,,,,,,,,0.0,206,206
Brooklyn,301,2094.0,3045.0,1348.0,1200.0,1878.0,1425.0,1628.0,1696.0,2460.0,2561.0,2082.0,1649.0,2565.0,1308.0,6256.0,2325.0,1660.0,72105,92126
Brooklyn,302,803.0,1081.0,847.0,522.0,645.0,1288.0,1802.0,2312.0,2668.0,1446.0,1606.0,1549.0,2344.0,444.0,5167.0,1114.0,461.0,50753,66241
Brooklyn,303,293.0,343.0,569.0,526.0,446.0,331.0,606.0,1065.0,923.0,1009.0,1044.0,992.0,1391.0,717.0,2977.0,1124.0,854.0,65614,73418
Brooklyn,304,368.0,471.0,264.0,141.0,281.0,250.0,421.0,421.0,660.0,1697.0,1327.0,724.0,877.0,693.0,1558.0,794.0,530.0,39992,46546
Brooklyn,305,396.0,412.0,379.0,344.0,223.0,32.0,462.0,405.0,556.0,112.0,528.0,1222.0,2180.0,1042.0,1997.0,419.0,376.0,65612,70271
Brooklyn,306,291.0,322.0,318.0,26.0,223.0,79.0,2.0,880.0,856.0,241.0,109.0,200.0,607.0,191.0,423.0,297.0,20.0,50268,53493
Brooklyn,307,246.0,285.0,295.0,87.0,91.0,241.0,106.0,2.0,104.0,166.0,104.0,492.0,216.0,324.0,730.0,283.0,400.0,42506,44440
Brooklyn,308,146.0,203.0,215.0,455.0,113.0,430.0,187.0,736.0,751.0,553.0,378.0,337.0,848.0,390.0,1952.0,721.0,465.0,43351,47652
Brooklyn,309,31.0,36.0,29.0,212.0,221.0,37.0,54.0,837.0,423.0,383.0,267.0,416.0,430.0,232.0,1817.0,320.0,241.0,38710,41620
Brooklyn,310,26.0,28.0,18.0,40.0,1.0,15.0,48.0,17.0,24.0,16.0,31.0,43.0,47.0,47.0,307.0,80.0,180.0,57750,58029
Brooklyn,311,161.0,213.0,84.0,46.0,101.0,36.0,38.0,89.0,46.0,182.0,127.0,49.0,164.0,96.0,750.0,141.0,109.0,72420,73379
Brooklyn,312,142.0,227.0,209.0,34.0,58.0,54.0,82.0,95.0,138.0,102.0,267.0,508.0,216.0,195.0,558.0,223.0,88.0,61101,62790
Brooklyn,313,131.0,163.0,46.0,96.0,313.0,133.0,45.0,87.0,71.0,101.0,1327.0,186.0,976.0,39.0,1070.0,91.0,357.0,46298,48834
Brooklyn,314,294.0,300.0,210.0,8.0,44.0,115.0,17.0,61.0,643.0,334.0,685.0,373.0,422.0,348.0,1413.0,382.0,181.0,60417,63201
Brooklyn,315,85.0,100.0,98.0,45.0,76.0,21.0,72.0,57.0,445.0,203.0,110.0,236.0,248.0,-3.0,444.0,273.0,133.0,70595,72043
Brooklyn,316,277.0,302.0,280.0,225.0,175.0,105.0,45.0,290.0,560.0,231.0,117.0,370.0,617.0,678.0,1752.0,187.0,135.0,32969,35644
Brooklyn,317,79.0,88.0,32.0,17.0,28.0,44.0,127.0,-21.0,187.0,399.0,958.0,716.0,770.0,681.0,1748.0,186.0,250.0,59098,61664
Brooklyn,318,24.0,54.0,48.0,66.0,2.0,33.0,4.0,203.0,11.0,41.0,30.0,8.0,59.0,61.0,107.0,45.0,169.0,70634,71104
Brooklyn,355,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,85,85
Brooklyn,356,,,,,,,,,,,,,,,,,,15,15
Queens,401,697.0,890.0,495.0,320.0,554.0,540.0,628.0,809.0,1066.0,1654.0,947.0,321.0,1227.0,350.0,5253.0,3600.0,2609.0,83019,91050
Queens,402,269.0,290.0,302.0,798.0,2134.0,1034.0,958.0,1286.0,2822.0,2453.0,1089.0,342.0,3606.0,910.0,6733.0,437.0,1435.0,47525,61012
Queens,403,197.0,234.0,192.0,164.0,175.0,90.0,50.0,79.0,66.0,78.0,197.0,73.0,165.0,251.0,737.0,94.0,302.0,56181,57542
Queens,404,211.0,302.0,226.0,239.0,87.0,110.0,208.0,129.0,118.0,226.0,321.0,237.0,392.0,105.0,902.0,241.0,362.0,54613,56725
Queens,405,132.0,220.0,78.0,75.0,49.0,24.0,85.0,93.0,187.0,128.0,225.0,169.0,158.0,248.0,406.0,97.0,626.0,65818,67063
Queens,406,24.0,88.0,66.0,83.0,42.0,58.0,441.0,28.0,94.0,181.0,35.0,-1.0,142.0,556.0,915.0,400.0,225.0,55250,56301
Queens,407,407.0,473.0,416.0,322.0,394.0,443.0,151.0,380.0,218.0,295.0,1222.0,322.0,1059.0,365.0,2797.0,875.0,1321.0,95475,100045
Queens,408,148.0,181.0,322.0,85.0,97.0,22.0,63.0,84.0,89.0,159.0,178.0,120.0,966.0,51.0,716.0,120.0,163.0,56863,58230
Queens,409,36.0,53.0,155.0,113.0,229.0,30.0,20.0,196.0,18.0,30.0,43.0,62.0,370.0,147.0,304.0,99.0,312.0,47999,48931
Queens,410,42.0,60.0,75.0,21.0,132.0,47.0,55.0,36.0,12.0,30.0,47.0,31.0,108.0,29.0,207.0,152.0,179.0,41391,41919
Queens,411,76.0,124.0,135.0,50.0,79.0,80.0,36.0,18.0,51.0,42.0,70.0,73.0,163.0,49.0,194.0,106.0,131.0,45688,46398
Queens,412,304.0,722.0,183.0,165.0,111.0,330.0,157.0,153.0,113.0,866.0,856.0,947.0,1966.0,841.0,2580.0,544.0,648.0,76426,80611
Queens,413,89.0,108.0,69.0,72.0,66.0,68.0,52.0,37.0,48.0,53.0,61.0,66.0,179.0,27.0,142.0,25.0,379.0,63216,63897
Queens,414,143.0,197.0,158.0,138.0,75.0,102.0,185.0,98.0,244.0,460.0,285.0,148.0,1570.0,483.0,1883.0,156.0,200.0,45250,47286
Queens,480,,,,,,,,,,,,,,,,,,0,0
Queens,481,,,,,,0.0,0.0,,0.0,,,,,,,1.0,0.0,1,1
Queens,482,,,,,,,,,,,,,,,,,,392,392
Queens,483,,,,,,,,,,,,,,,0.0,,0.0,0,0
Queens,484,,,,,,0.0,,,-1.0,,0.0,,,,,-1.0,1.0,20,19
Staten Island,501,203.0,347.0,223.0,174.0,186.0,94.0,-168.0,775.0,194.0,100.0,180.0,90.0,702.0,49.0,591.0,331.0,967.0,65422,67473
Staten Island,502,83.0,117.0,101.0,127.0,19.0,114.0,144.0,114.0,78.0,366.0,147.0,108.0,555.0,19.0,234.0,45.0,135.0,50319,51720
Staten Island,503,198.0,272.0,240.0,182.0,271.0,158.0,140.0,193.0,210.0,255.0,216.0,224.0,315.0,34.0,531.0,-14.0,442.0,60584,62871
Staten Island,595,,,,,,,,,,,,,,,,,,331,331
Bronx,203,1282.0,1294.0,718.0,205.0,599.0,276.0,418.0,658.0,615.0,460.0,861.0,748.0,469.0,142.0,1340.0,422.0,175.0,28182,35022
Bronx,209,190.0,199.0,133.0,48.0,78.0,29.0,319.0,251.0,138.0,47.0,551.0,394.0,1638.0,50.0,1093.0,267.0,168.0,64604,66782
